Year,Year Code,Country Name,Country Code,CO2 emissions from gaseous fuel consumption (kt) ,CO2 emissions from liquid fuel consumption (kt),CO2 emissions from solid fuel consumption (kt),CO2 emissions from transport (kt),CO2 emissions from residential buildings and commercial and public services(kt) ,CO2 emissions from electricity and heat production(kt),CO2 emissions from manufacturing industries and construction (kt),Country_Type
2005,YR2005,Japan,JPN,161813.709,624801.795,419603.809,239223.1655,153354.5205,568928.6907,248625.6688,Asia
2005,YR2005,Saudi Arabia,SAU,127358.577,256899.019,137897.645,80145.20488,4274.97528,159179.3395,71690.48892,Asia
2005,YR2005,United Arab Emirates,ARE,78290.45,30454.435,550.05,23834.94176,136.2595615,55897.86474,36590.93302,Asia
2005,YR2005,Germany,DEU,178146.527,288149.193,315967.055,158679.019,162768.6318,383230.3808,96600.53137,Europe
2005,YR2005,United Kingdom,GBR,195759.128,193800.95,143372.366,129509.1673,101055.2385,247602.1377,56235.7177,Europe
2005,YR2005,Ukraine,UKR,149822.619,37183.38,140794.465,30744.02753,41960.22064,139066.7241,75578.64891,Europe
2005,YR2005,Netherlands,NLD,80905.021,71689.85,28023.214,34599.55121,28435.78344,71501.71714,24514.29987,Europe
2005,YR2005,France,FRA,93963.208,227973.723,52823.135,134446.7045,92847.66301,75511.30357,56407.39593,Europe
2005,YR2005,Italy,ITA,161813.709,228945.478,62533.351,127639.5037,83362.34429,184522.7775,69011.72647,Europe
2005,YR2005,Indonesia,IDN,54495.287,174897.565,88642.391,75869.81687,33675.75759,133274.3619,87589.19535,Asia
2006,YR2006,India,IND,49482.498,316902.14,855698.117,126345.0012,90714.10564,674843.2471,272163.4378,Asia
2006,YR2006,China,CHN,103838.439,899269.411,4909390.601,489934.8492,418144.658,3320312.676,2050037.827,Asia
2006,YR2006,Japan,JPN,177361.789,597181.951,425331.663,234058.1273,142260.5932,553241.3257,257207.0707,Asia
2006,YR2006,Saudi Arabia,SAU,135110.615,283998.149,227897.645,86718.29232,4185.450326,166909.4013,77626.85845,Asia
2006,YR2006,United Arab Emirates,ARE,82628.511,31719.55,1227897.646,25280.08296,137.3917552,60135.31439,35996.63986,Asia
2006,YR2006,Germany,DEU,181615.509,288790.918,329509.286,156360.601,171339.4269,387431.9174,98442.4742,Europe
2006,YR2006,United Kingdom,GBR,185660.21,190379.639,155821.831,131115.1452,96771.34428,252997.9764,55505.85257,Europe
2006,YR2006,Ukraine,UKR,129742.127,38360.487,151476.436,30467.55607,47264.03138,139160.7136,82449.92505,Europe
2006,YR2006,Netherlands,NLD,78429.796,73218.989,27124.799,35514.78024,28663.3453,66431.75465,25323.145,Europe
2006,YR2006,France,FRA,90747.249,224772.432,49005.788,135029.5401,88036.33656,71555.25906,55928.60343,Europe
2006,YR2006,Italy,ITA,158473.072,223819.012,63211.746,129085.7842,77605.26777,186697.4077,64179.18234,Europe
2006,YR2006,Indonesia,IDN,57472.891,152624.207,111469.466,71952.92078,30204.5778,139479.1238,112479.361,Asia
2007,YR2007,India,IND,52738.794,335739.519,931927.713,149804.3345,92584.025,741274.6303,306415.0745,Asia
2007,YR2007,China,CHN,135433.311,904450.882,4978938.923,521490.8892,430516.2052,3589937.79,2291751.211,Asia
2007,YR2007,Japan,JPN,190086.279,583878.075,443835.345,229286.8223,136942.5193,610504.089,245808.065,Asia
2007,YR2007,Saudi Arabia,SAU,113570.657,258677.514,227897.645,97134.57927,4396.819513,168015.9941,85072.60225,Asia
2007,YR2007,United Arab Emirates,ARE,91370.639,33824.408,513.38,26100.5352,180.5163134,60515.43942,45044.1295,Asia
2007,YR2007,Germany,DEU,175198.259,254926.173,334448.735,151624.7492,132255.1321,401160.6129,98156.42892,Europe
2007,YR2007,United Kingdom,GBR,187724.731,184519.773,146947.691,131782.9769,92444.47108,246450.7529,54500.00959,Europe
2007,YR2007,Ukraine,UKR,125580.082,41411.431,146786.343,40488.68885,41441.60241,140960.245,85012.05426,Europe
2007,YR2007,Netherlands,NLD,76350.607,73017.304,26593.084,34802.07404,25704.01883,70952.75361,25442.3491,Europe
2007,YR2007,France,FRA,88147.346,219095.916,50776.949,134074.1426,79843.98475,73787.56401,54096.48471,Europe
2007,YR2007,Italy,ITA,159246.809,216030.304,63688.456,129794.3499,71215.15173,186739.4091,63013.23131,Europe
2007,YR2007,Indonesia,IDN,57124.526,166360.789,128781.373,75833.07313,30517.92606,148842.0032,114920.072,Asia
2008,YR2008,India,IND,63098.069,403403.003,1007497.249,171395.2171,93965.65455,763762.0716,334331.8315,Asia
2008,YR2008,China,CHN,149796.95,970911.59,5734164.907,566796.5927,417465.8562,3611468.045,2443077.867,Asia
2008,YR2008,Japan,JPN,191597.083,555015.118,433820.768,224574.3666,126777.8526,579213.3425,225669.9522,Asia
2008,YR2008,Saudi Arabia,SAU,125253.719,289051.275,17897.645,105424.3116,4644.619962,184222.3226,95428.747,Asia
2008,YR2008,United Arab Emirates,ARE,107890.474,35096.857,1378.792,27869.11578,319.5999516,72655.72234,55205.56498,Asia
2008,YR2008,Germany,DEU,176727.398,274702.304,311654.663,151628.7922,156355.0961,379509.9786,101676.6495,Europe
2008,YR2008,United Kingdom,GBR,194446.342,183078.642,135902.687,124467.9763,101085.8503,235129.8469,50507.42084,Europe
2008,YR2008,Ukraine,UKR,120974.33,39599.933,143009.333,40777.81637,38989.76378,139764.4074,77172.34954,Europe
2008,YR2008,Netherlands,NLD,79375.882,69849.016,26673.758,35137.78588,28701.55721,69893.42069,23824.10268,Europe
2008,YR2008,France,FRA,91348.637,216129.313,48422.735,127553.2875,86057.45512,70543.94033,52200.46515,Europe
2008,YR2008,Italy,ITA,159221.14,204699.274,61807.285,122355.4917,75173.53687,180082.2916,59117.55709,Europe
2008,YR2008,Indonesia,IDN,60362.487,158432.735,173254.749,83426.72513,27672.83594,151534.5589,103418.6303,Asia
2009,YR2009,India,IND,91245.961,454836.345,1088420.605,183319.3315,98159.87447,818291.989,379980.3802,Asia
2009,YR2009,China,CHN,171916.294,952294.231,5613696.623,581967.0716,430215.9689,3887785.687,2651035.624,Asia
2009,YR2009,Japan,JPN,184659.119,506068.002,387257.202,221995.0577,135178.9107,536394.5713,204814.6429,Asia
2009,YR2009,Saudi Arabia,SAU,119690.88,326333.664,207897.645,108790.1707,4693.203465,195528.7142,97528.62543,Asia
2009,YR2009,United Arab Emirates,ARE,113563.323,42335.515,1041.428,28092.69464,523.4000142,63342.08336,65061.82626,Asia
2009,YR2009,Germany,DEU,166577.142,259440.25,279557.412,149979.5447,145460.3678,350261.7105,88577.90686,Europe
2009,YR2009,United Kingdom,GBR,178879.927,173878.139,111891.171,120126.3521,94522.82372,207062.569,41243.92255,Europe
2009,YR2009,Ukraine,UKR,93475.497,39493.59,122397.126,33701.9886,35295.7971,121775.0393,56691.16311,Europe
2009,YR2009,Netherlands,NLD,81290.056,66640.391,24821.923,33633.28036,28743.72779,68403.43201,22153.8987,Europe
2009,YR2009,France,FRA,88088.674,212667.665,42181.501,126765.9703,88517.61718,67166.58233,43867.04648,Europe
2009,YR2009,Italy,ITA,146357.304,188876.169,48250.386,115730.2425,75745.81117,152495.6321,44735.36429,Europe
2009,YR2009,Indonesia,IDN,64594.205,181410.157,173559.11,95206.33698,23713.18219,158373.6253,103285.7493,Asia
2010,YR2010,India,IND,100318.119,414257.323,1093532.403,199102.6381,103060.2402,854937.6903,431159.9802,Asia
2010,YR2010,China,CHN,199748.824,1093466.397,6574171.931,639326.129,457809.8509,4370367,2834697.721,Asia
2010,YR2010,Japan,JPN,196694.213,511370.484,438848.225,222793.66,126723.7107,574880.2464,229367.524,Asia
2010,YR2010,Saudi Arabia,SAU,137189.804,359941.719,207897.645,112176.5209,4694.424532,210301.7031,118946.7114,Asia
2010,YR2010,United Arab Emirates,ARE,116962.632,28331.242,2478.892,29060.82977,590.0131552,65201.81741,67948.06046,Asia
2010,YR2010,Germany,DEU,173845.136,262982.572,306465.858,150850.8792,154171.8804,368610.7653,98896.56504,Europe
2010,YR2010,United Kingdom,GBR,194259.325,175319.27,116280.57,118472.557,104995.2792,211336.2625,43801.15288,Europe
2010,YR2010,Ukraine,UKR,126540.836,38184.471,135202.29,34237.38482,37287.44093,131152.4128,61910.07933,Europe
2010,YR2010,Netherlands,NLD,91766.675,67139.103,25309.634,34270.3249,33243.42328,71399.86611,23336.84287,Europe
2010,YR2010,France,FRA,97428.523,201538.32,45221.444,126061.0458,86218.92407,70654.31697,46796.08546,Europe
2010,YR2010,Italy,ITA,155873.169,178590.234,53739.885,112876.6218,78729.24612,158316.8303,47353.3716,Europe
2010,YR2010,Indonesia,IDN,73791.041,195836.135,129426.765,111735.4481,22631.63948,167575.5996,102184.2787,Asia
